Repository,User,EventType,Comment
magwas/alkotmany,magwas,IssueCommentEvent,"A büntetlen előélet szerepel a jelenlegi szövegváltozatban.
Javaslom hogy készíts módosító javaslatot.
Az újraválaszthatóság ebben a módosítóban már szerepel. Meggkérheted a javaslat szószólóját hogy alakítson rajta, támogathatod a javaslatot, és írhatsz alternatív javaslatot is. http://demokracia.rulez.org/2014/12/24/modosito-javaslat-zentai-daniel-2014-12-006-visszahivas/

A módosító javaslatot úgy tudod megcsinálni, hogy letöltöd innen az aktuális szöveget: https://raw.githubusercontent.com/magwas/alkotmany/master/alkotmany.rst , megszerkeszted és ideadod.
"
rwtema/FunkyLocomotion,rwtema,IssueCommentEvent,Not necessary.
ashgkwd/backpack,dewbot,IssueCommentEvent,@ashgkwd review it and merge it if you find it appropriate
lmccart/p5.js,kennethdmiller3,IssueCommentEvent,The ideal behavior would be to wrap around like an unsigned int.
Baystation12/Baystation12,Zuhayr,IssueCommentEvent,I guess it isn't terribly important.
MightyPirates/OpenComputers,Kubuxu,IssueCommentEvent,@morlanius it is looking like that as it should be opaque on each side.
ajency/xooma-track-go,anujkhurana,IssueCommentEvent,"@Ashika: When this bug is fixed can you show it to me before you close it
on github. Thanks.

On Wed, Dec 31, 2014 at 1:22 PM, ashika123 <notifications@github.com> wrote:

> steps:
> 1. Open the app and click on login with facebook.
> 2, Enter the credentials and the profile page will be displayed
> 3. Close the app, and then reopen
>
> Current behaviour: On reopening the app the user has to click on 'login
> with facebook' again to view the profile page'
> Expected behaviour: Profile screen has to be visible as the user has not
> logged out.
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/ajency/xooma-track-go/issues/141>.
>"
alanpich/tvImagePlus,yuka123,IssueCommentEvent,"sotwell you don't have to do that in the ""doodles"" tutorial. It's far more simpler. You fork this repo to your account. Then there is a _build as you can see in the repo. Just set it up in your webserver directory and run it. It will create the latest package. Now this puts everything in place already for you to work on the issues. Once you create any changes on your local installation of the build you can just push those to your repo and propous the pull request to the original repo. 

Best, yuka"
tgstation/-tg-station,Lo6a4evskiy,IssueCommentEvent,"> Perhaps it would be wise to change their glass amount to 500 for consistency.

I'll look into that, but may be I'll just save that to another PR that would add glass and metal to lots of things that lack it (bottles, for instance, also don't contain glass).

Kay, so current to-do list:
- [ ] Split food cart into separate cart, which would solve both clunky interface and conflicting with goofball's PR
- [ ] May be expand functionality to produce more things like trays, forks, bottles or something like that, basically making a food autolathe (so it would include adding glass and metal to produced items)
- [ ] Add mixing functionality (right now I'm thinking of just adding some container object into contents of the cart, do tell if there's a better way)
- [ ] Ask spritebus for different sprite of the cart (if we're gonna keep them both) and for hot dogs."
kangax/compat-table,Yaffle,IssueCommentEvent,"es6-shim is a ""runtime"" part of ""6to5 + polyfill"", not?
"
cloudify-cosmo/cloudify-softlayer-plugin,dankilman,PullRequestReviewCommentEvent,verify throws exception and remove isNotNone
ajency/Foodstree,anujkhurana,IssueCommentEvent,"To be discussed. Please come to my desk on Friday morning and lets decide
how we will solve this.

On Wed, Dec 31, 2014 at 1:05 PM, robiulpro <notifications@github.com> wrote:

> The order count includes the parent order.
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/ajency/Foodstree/issues/15#issuecomment-68428196>.
>"
nvkzNemo/UberSplash,MyTheValentinus,IssueCommentEvent,OK thank and drop folder UberSplah-master in the extensions folder ?
NLog/NLog,Xharze,IssueCommentEvent,"It has not been released on nuget yet. I'll release it later today. I'm
also update the website."
IjzerenHein/famous-flex,IjzerenHein,IssueCommentEvent,"Hi, could you share the surface/view code of your chat-bubbles so I can have a look at it?"
lillian-mahoney/untitled-game-engine,lillian-mahoney,IssueCommentEvent,Fixed in https://github.com/lillian-mahoney/untitled-game-engine/commit/3e6182d3e05bf661f8f542ec1027bf940f2f85d1.
ciubotaru/share-on-diaspora,ciubotaru,IssueCommentEvent,"I am unable to reproduce it. Closing.

If anyone faces this bug, feel free to reopen this issue or open another one."
pmt-it/Payout-API,pmt-it,IssueCommentEvent,Fixed
kajstrom/WorkoutTracker,kajstrom,IssueCommentEvent,Completed
terryweiss/docstrap,tswaters,IssueCommentEvent,Also missing overrides and requires.
imanuelcostigan/FinancialMarkets.jl,imanuelcostigan,IssueCommentEvent,"Start with extrapolation methods that would be most natural to various interpolation methods:

1. LinearZero: Assume linear extrapolation past last pillar. But perhaps most naturally, would be to assume constant extrapolation before first pillar.
2. LinearLogDF: Assume constant forward past last pillar and before first pillar.
3. CubicZero: See LinearZero"
neovim/neovim,phmarek,IssueCommentEvent,"New version, fixed the comment line length and removed the bad chunk (misaligned \)."
NixOS/nixpkgs,vcunat,IssueCommentEvent,"Looks good, thanks!"
urho3d/Urho3D,weitjong,IssueCommentEvent,"@cadaver, MSVC should be able to build now with the new build system. I have tested it with VS 2013 on Win7 (with and without MKLINK privilege). As explained in ealier comment, when wihout MKLINK then the buildsystem would fallback to use file copy in the library post-build step. i.e. the copying happens as necessary when the corresponding library is being built. This is to avoid stale version of the header files in the build tree.

I also find out that MSVC does not handle the relative include pathspec correctly, or at very least not the same as GCC and Clang. I come out with a workaround solution to fix this problem. You may want to review these:
https://github.com/urho3d/Urho3D/blob/buildsystem/Source/Urho3D/CMakeLists.txt#L82-L88
and
https://github.com/urho3d/Urho3D/blob/buildsystem/Source/Urho3D/LuaScript/CMakeLists.txt#L78-L84
to see whether you are OK with the workaround. I am not familiar with MSVC, so may be you know a better way to solve it.

BTW, Happy New Year!"
sass/libsass,xzyfer,PullRequestReviewCommentEvent,"I'm not sure why this cause compilation to fail on only some platform though. More this file is just a modified version of [eval.hpp](https://github.com/sass/libsass/blob/master/eval.hpp)

Which declares this as [protected](https://github.com/sass/libsass/blob/master/eval.hpp#L30)."
hawkwang/zhaole365,hawkwang,IssueCommentEvent,"
http://study.163.com/course/courseMain.htm?courseId=321007
"
fossasia/fossasia.github.io,namangoel1,IssueCommentEvent,Thanks!
bldr-io/bldr,WouterJ,IssueCommentEvent,"@aequasi you removed it in 7.0.0, but didn't change the usage. Should the exception class be added again?"
joel-costigliola/assertj-core,joel-costigliola,PullRequestReviewCommentEvent,"I would just get rid of `PathsBaseTest_NoFileSystem`, override `setup` calling `PathsBaseTest#setup` and initialising mock. Having a class `PathsBaseTest_NoFileSystem` with a `initPath` feels wrong to me.
IMO, if you need a base class for test that uses a mock path, its name should reflect that, maybe something like `WithMockPathsBaseTest` ..."
edx/edx-ora2,muhammad-ammar,IssueCommentEvent,@symbolist Can you please review?
ciubotaru/share-on-diaspora,ciubotaru,IssueCommentEvent,"I am unable to reproduce it. Closing.

If anyone faces this bug, feel free to reopen this issue or open another one."
FreeOpcUa/freeopcua,oroulet,IssueCommentEvent,fixed in https://github.com/FreeOpcUa/freeopcua/pull/102
kurehajime/colamone_js,kurehajime,IssueCommentEvent,"とりあえずjasmine入れてみた。
まだざっくりとしたテスト。
これから粒度を小さくする。"
imanuelcostigan/FinancialMarkets.jl,imanuelcostigan,IssueCommentEvent,Closed with remaining task (extrapolation) hived off into #27 
cloudify-cosmo/cloudify-softlayer-plugin,dankilman,PullRequestReviewCommentEvent,Add comment
CPAN-API/metacpan-client,xsawyerx,IssueCommentEvent,"To close this, I'll add the Meta variables and release a quick version with it. I'll also move the RT tickets."
FreeOpcUa/freeopcua,oroulet,IssueCommentEvent,fixed
Dzikoysk/FunnyGuilds,Szeder32,IssueCommentEvent,@EDITowałem post.
nvkzNemo/UberSplash,nvkzNemo,IssueCommentEvent,"Yeah, right"
D-Programming-Language/phobos,CyberShadow,PullRequestReviewCommentEvent,"I wasn't thinking of C++ iterators when I chose the term, but more of those found in Python/Ruby/C#. What term would you suggest, then? (If not for the parameter name, then for the inferred type name)."
servo/servo,Manishearth,IssueCommentEvent,Any updates? :)
angular/angular.js,googlebot,IssueCommentEvent,"Thanks for your pull request.

It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA) at <https://cla.developers.google.com/>.

If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check the [information on your CLA](https://cla.developers.google.com/clas) or see this help article on [setting the email on your git commits](https://help.github.com/articles/setting-your-email-in-git/).

Once you've done that, please reply here to let us know.  If you signed the CLA as a corporation, please let us know the company's name.

<!-- need_sender_cla -->"
chibisov/drf-extensions,chibisov,IssueCommentEvent,I'm closing it for now.
trulia/hologram,shoesforindustry,IssueCommentEvent,"Seems like a very good way to go, it was one of the reasons I stopped using Hologram, but I think I'm about to take another look..."
zendframework/zf2,billal-mahmood-rolustech,IssueCommentEvent,"Actually I'm getting the sql string using ""getSqlString(new \Zend\Db\Adapter\Platform\Mysql())"" and passing it to $dbAdapter->query(). I faced another awkward situation when SQL string was having "" limit = '0' "" which is denied by MySql but when the same ""Select $select"" object is passed to $tablegateway->selectWith( $select ) the query runs fine without any error so I think there is some problem in ""getSqlString()"" function.

By the way I'm unable to run ""multiple union"" $select using $tablegateway->selectWith( $select ). My $select object has tableName as ""temp"" (no such physical DB table exists and ""temp"" is alias of ""from"" clause having UNION of tables). When initializing the tablegateway object I pass it ""temp"" as table name to the constructor but when $tablegateway->selectWith( $select ) is called it gives me error like: 
""The table name of the provided select object must match that of the table"". 
I tried this tablegateway approach assuming it will not have any issue as in the case of "" limit = '0' "". Can you help? @ralphschindler "
boonproject/boon,kerbymart,IssueCommentEvent,@RichardHightower will there be a fix for this?
phoenixframework/phoenix,josevalim,IssueCommentEvent,"It looks great! :shipit:

We just need overall improvements to the channel/socket documentation and specification:

* We need docs for Phoenix.Channel, explaining the callbacks and what not, today it has no moduledocs.
* We should also make leave, incoming and outgoing part of the Phoenix.Channel behaviour specification (today we only have join)
* We should also discuss if we should ship a default implementation of incoming too
* We should explicitly document what triggers the outgoing callback. If I broadcast something, does this message go throughout outgoing? What if I use reply?
* The documentation for Phoenix.Socket and Phoenix.Socket.Message is lacking too. What are the fields? Which of those fields are public? What do they do? Take a look at `Plug.Conn` for examples if required. Note: I would recommend removing the connection altogether from the socket struct. Maybe we can pass it as argument (or part of it) on join, but we should definitely not keep it around.
"
FreeOpcUa/freeopcua,oroulet,IssueCommentEvent,"fixed in 
https://github.com/FreeOpcUa/freeopcua/pull/102"
